recordTime,speed,lane
2016-09-08 15:32:00.000,63,3
2016-09-08 15:32:20.000,64,1
2016-09-08 15:32:20.000,47,2
2016-09-08 15:32:20.000,62,3
2016-09-08 15:32:40.000,0,1
2016-09-08 15:32:40.000,-1,2
2016-09-08 15:32:40.000,0,3
2016-09-08 15:33:00.000,0,1
2016-09-08 15:33:00.000,-1,2
2016-09-08 15:33:00.000,64,3
2016-09-08 15:33:20.000,61,1
2016-09-08 15:33:20.000,103,2
2016-09-08 15:33:20.000,66,3
2016-09-08 15:33:40.000,69,1
2016-09-08 15:33:40.000,-1,2
2016-09-08 15:33:40.000,67,3
2016-09-08 15:34:00.000,64,1
2016-09-08 15:34:00.000,40,2
2016-09-08 15:34:00.000,63,3
2016-09-08 15:34:20.000,81,1
2016-09-08 15:34:20.000,131,2
2016-09-08 15:34:20.000,56,3
2016-09-08 15:34:40.000,69,1
2016-09-08 15:34:40.000,0,2
2016-09-08 15:34:40.000,0,3
2016-09-08 15:35:00.000,0,1
2016-09-08 15:35:00.000,120,2
2016-09-08 15:35:00.000,60,3
2016-09-08 15:35:20.000,67,1
2016-09-08 15:35:20.000,121,2
2016-09-08 15:35:20.000,62,3
2016-09-08 15:35:40.000,67,1
2016-09-08 15:35:40.000,112,2
2016-09-08 15:35:40.000,75,3
2016-09-08 15:36:00.000,75,1
2016-09-08 15:36:00.000,77,2
2016-09-08 15:36:00.000,69,3
2016-09-08 15:36:20.000,57,1
2016-09-08 15:36:20.000,-233,2
2016-09-08 15:36:20.000,72,3
2016-09-08 15:36:40.000,73,1
2016-09-08 15:36:40.000,0,2
2016-09-08 15:36:40.000,0,3
2016-09-08 15:37:00.000,59,1
2016-09-08 15:37:00.000,97,2
2016-09-08 15:37:00.000,60,3
2016-09-08 15:37:20.000,61,1
2016-09-08 15:37:20.000,111,2
2016-09-08 15:37:20.000,58,3
2016-09-08 15:37:40.000,61,1
2016-09-08 15:37:40.000,20,2
2016-09-08 15:37:40.000,62,3
2016-09-08 15:38:00.000,61,1
2016-09-08 15:38:00.000,27,2
2016-09-08 15:38:00.000,0,3
2016-09-08 15:38:20.000,65,1
2016-09-08 15:38:20.000,-1,2
2016-09-08 15:38:20.000,66,3
2016-09-08 15:38:40.000,65,1
2016-09-08 15:38:40.000,59,2
2016-09-08 15:38:40.000,60,3
2016-09-08 15:39:00.000,59,1
2016-09-08 15:39:00.000,0,2
2016-09-08 15:39:00.000,69,3
2016-09-08 15:39:20.000,80,1
2016-09-08 15:39:20.000,-1,2
2016-09-08 15:39:20.000,65,3
2016-09-08 15:39:40.000,56,1
2016-09-08 15:39:40.000,148,2
2016-09-08 15:39:40.000,65,3
2016-09-08 15:40:00.000,66,1
2016-09-08 15:40:00.000,62,2
2016-09-08 15:40:00.000,69,3
2016-09-08 15:40:20.000,58,1
2016-09-08 15:40:20.000,116,2
2016-09-08 15:40:20.000,62,3
2016-09-08 15:40:40.000,61,1
2016-09-08 15:40:40.000,94,2
2016-09-08 15:40:40.000,67,3
2016-09-08 15:41:00.000,69,1
2016-09-08 15:41:00.000,125,2
2016-09-08 15:41:00.000,66,3
2016-09-08 15:41:20.000,55,1
2016-09-08 15:41:20.000,-1,2
2016-09-08 15:41:20.000,0,3
2016-09-08 15:41:40.000,0,1
2016-09-08 15:41:40.000,0,2
2016-09-08 15:41:40.000,0,3
2016-09-08 15:42:00.000,65,1
2016-09-08 15:42:00.000,172,2
2016-09-08 15:42:00.000,64,3
2016-09-08 15:42:20.000,77,1
2016-09-08 15:42:20.000,104,2
2016-09-08 15:42:20.000,67,3
2016-09-08 15:42:40.000,59,1
2016-09-08 15:42:40.000,41,2
2016-09-08 15:42:40.000,74,3
2016-09-08 15:43:00.000,66,1
2016-09-08 15:43:00.000,-1,2
2016-09-08 15:43:00.000,61,3
2016-09-08 15:43:20.000,59,1
2016-09-08 15:43:20.000,95,2
2016-09-08 15:43:20.000,65,3
2016-09-08 15:43:40.000,64,1
2016-09-08 15:43:40.000,120,2
2016-09-08 15:43:40.000,69,3
2016-09-08 15:44:00.000,56,1
2016-09-08 15:44:00.000,136,2
2016-09-08 15:44:00.000,63,3
2016-09-08 15:44:20.000,71,1
2016-09-08 15:44:20.000,0,2
2016-09-08 15:44:20.000,61,3
